CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL3623004	1966691	CHEMBL3623004	1966691		30b, AZD9496	442.48	5.63	56.33	1	C[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1CC(C)(C)F)c4c(F)cc(\C=C\C(=O)O)cc4F	15740538	IC50	=	.138	nM	9.86	pIC50	=	9.86				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1519262	CHEMBL3624759	B	Antagonist activity at ERalpha receptor in human MCF7 cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	19	CHEMBL206	SINGLE PROTEIN	P03372	Estrogen receptor alpha	Homo sapiens	9	Protein	Hormone_recep	high	93687	CHEMBL3621041	26407012	J. Med. Chem.	2015	58	20	8128	491	CHEMBL3308403	MCF7		
CHEMBL195515	324474	CHEMBL195515	324474		3b, GW7604	370.45	5.86	57.53	1	CC\C(=C(/c1ccc(O)cc1)\c2ccc(\C=C\C(=O)O)cc2)\c3ccccc3	15243188	IC50	=	.15	nM	9.82	IC50	=	.00015	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1476876	CHEMBL3429910	B	Binding affinity to ER alpha (unknown origin) by LanthaScreen TR-FRET competitive binding assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	19	CHEMBL206	SINGLE PROTEIN	P03372	Estrogen receptor alpha	Homo sapiens	9	Protein	Hormone_recep	high	91767	CHEMBL3425438	25790336	J. Med. Chem.	2015	58	8	3522					
CHEMBL198803	332076	CHEMBL198803	332076		2b	473.59	6.07	70	1	C[C@@H](COc1ccc(cc1)C(=O)c2c(sc3cc(O)ccc23)c4ccc(O)cc4)N5CCCC5	1654151	IC50	=	.2	nM	9.7	IC50	=	.2	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	325824	CHEMBL863236	B	Inhibition of binding to recombinant human ERalpha by scintillation proximity assay	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	19	CHEMBL206	SINGLE PROTEIN	P03372	Estrogen receptor alpha	Homo sapiens	9	Protein	Hormone_recep	high	30340	CHEMBL1141200	16203138	Bioorg. Med. Chem. Lett.	2005	15	23	5124					
CHEMBL180873	301601	CHEMBL180873	301601		23k	548.66	6.48	81.08	2	Cc1cccc(c1)C(=O)N2CCN(CC2)c3ccc(cc3)C(=O)c4c(sc5cc(O)ccc45)c6ccc(O)cc6	10867818	IC50	=	.27	nM	9.57	IC50	=	.27	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	815206	CHEMBL2025223	B	Displacement of [3H]-17beta-estradiol from ERalpha	1	Scientific Literature				Autocuration	BAO_0000357	19	CHEMBL206	SINGLE PROTEIN	P03372	Estrogen receptor alpha	Homo sapiens	8	Homologous protein			61869	CHEMBL2021840	22405286	Eur. J. Med. Chem.	2012	51		17					
CHEMBL181368	301884	CHEMBL181368	301884		11F	491.6	6.51	62.16	1	C[C@H]1[C@@H]([C@@H](Oc2ccc(O)c(F)c12)c3ccc(OCCN4CCCCCC4)cc3)c5ccc(O)cc5	1428074	IC50	=	.3	nM	9.52	IC50	=	.3	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	305467	CHEMBL831077	B	Inhibition of estrogen receptor alpha	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	19	CHEMBL206	SINGLE PROTEIN	P03372	Estrogen receptor alpha	Homo sapiens	9	Protein	Hormone_recep	high	20896	CHEMBL1142044	15745820	Bioorg. Med. Chem. Lett.	2005	15	6	1675					
CHEMBL3775908	2074112	CHEMBL3775908	2074112		22	419.44	4.71	60.77	0	C[C@H](CF)CN1[C@H](C)Cc2cc(O)ccc2[C@H]1c3c(F)cc(\C=C\C(=O)O)cc3F	16506082	IC50	=	.37	nM	9.43	IC50	=	.37	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1561516	CHEMBL3776153	B	Downregulation of ERalpha in human MCF7 cells incubated for 18 to 22 hrs by immunofluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	19	CHEMBL206	SINGLE PROTEIN	P03372	Estrogen receptor alpha	Homo sapiens	9	Protein	Hormone_recep	high	98570	CHEMBL3774369	26819673	ACS Med. Chem. Lett.	2016	7	1	94	491	CHEMBL3308403	MCF7		
CHEMBL361601	304658	CHEMBL361601	304658		10	491.65	6.42	62.16	1	CC(C)[C@@H]1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C1	1435236	IC50	=	.4	nM	9.4	IC50	=	.4	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	305993	CHEMBL832667	B	Inhibition of bindign to recombinant human estrogen receptor alpha	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	19	CHEMBL206	SINGLE PROTEIN	P03372	Estrogen receptor alpha	Homo sapiens	9	Protein	Hormone_recep	high	20364	CHEMBL1144457	15582421	Bioorg. Med. Chem. Lett.	2005	15	1	107					
CHEMBL4088736	2228647	CHEMBL4088736	2228647		56	459.56	6.15	60.77	1	CC(C)Cc1ccc(N2CCc3cc(O)ccc3C2(C)c4ccc(\C=C\C(=O)O)cc4)c(F)c1	18049142	IC50	=	.4	nM	9.4	IC50	=	.4	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1661539	CHEMBL4011151	B	Induction of ERalpha degradation in human MCF7 cells after 18 to 24 hrs by Western blot analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	19	CHEMBL206	SINGLE PROTEIN	P03372	Estrogen receptor alpha	Homo sapiens	9	Protein			104397	CHEMBL4007492	28296398	J Med Chem	2017	60	7	2790					
CHEMBL180176	301570	CHEMBL180176	301570		2p	551.62	6.45	107.15	2	Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)c6ccc(cc6)[N+](=O)[O-]	1426545	IC50	=	.43	nM	9.37	IC50	=	.43	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	305325	CHEMBL833547	B	Inhibition of estrogen receptor alpha	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	19	CHEMBL206	SINGLE PROTEIN	P03372	Estrogen receptor alpha	Homo sapiens	9	Protein	Hormone_recep	high	20867	CHEMBL1141904	15713417	Bioorg. Med. Chem. Lett.	2005	15	5	1505					
CHEMBL81	6914	CHEMBL81	6914	RALOXIFENE	Raloxifene	473.59	6.08	70	1	Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4	16588392	IC50	=	.47	nM	9.33	IC50	=	.47	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1577035	CHEMBL3807011	B	Displacement of Fluormone ES2 from human recombinant full length untagged-ERalpha by fluorescence polarization competition binding assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	19	CHEMBL206	SINGLE PROTEIN	P03372	Estrogen receptor alpha	Homo sapiens	9	Protein	Hormone_recep	high	99314	CHEMBL3804822	27185013	Bioorg. Med. Chem.	2016	24	13	2914					
